# surface (m^2), quartier, prix (euros)
171,1,276000
79,1,88000
86,1,211000
131,1,200000
117,1,192000
66,1,62000
139,1,159000
119,1,169000
188,0,583000
98,0,254000
150,0,385000
107,0,341000
68,1,51000
132,1,215000
128,0,410000
90,0,298000
156,1,312000
106,0,337000
61,0,207000
68,1,120000
47,1,53000
135,0,440000
146,0,453000
179,0,532000
124,0,367000
104,1,147000
104,0,348000
60,1,130000
92,0,258000
166,1,276000
63,1,124000
63,0,198000
28,1,19000
69,0,184000
62,0,163000
115,1,178000
183,1,295000
71,0,182000
214,1,294000
115,1,147000
65,0,152000
96,0,241000
148,0,497000
162,0,506000
121,0,349000
139,1,205000
57,1,78000
74,0,216000
174,0,508000
132,0,411000
97,0,283000
183,1,323000
142,1,195000
71,0,227000
96,1,126000
122,1,157000
157,1,285000
106,0,346000
171,0,501000
45,1,79000
144,0,422000
147,0,392000
27,1,46000
194,1,226000
28,1,36000
264,1,426000
33,1,24000
141,0,414000
31,1,38000
107,1,186000
120,1,156000
257,0,821000
55,0,163000
101,1,184000
64,0,236000
137,1,312000
52,0,156000
82,0,232000
110,1,97000
115,1,187000
108,1,170000
69,1,117000
140,0,408000
186,1,334000
153,1,260000
127,1,145000
112,1,172000
41,0,108000
171,0,492000
134,1,193000
177,1,220000
57,1,85000
47,0,102000
58,1,91000
56,1,54000
173,0,535000
187,0,488000
69,1,70000
221,1,292000
151,1,257000
75,1,132000
107,0,287000
78,1,151000
104,1,164000
95,0,307000
31,0,118000
143,1,236000
99,0,241000
205,1,291000
164,1,240000
119,1,167000
54,1,77000
89,0,235000
110,1,168000
147,0,419000
124,1,219000
193,1,328000
148,1,222000
142,1,238000
66,0,135000
90,1,197000
32,1,10000
83,1,143000
94,0,244000
76,1,30000
138,0,357000
118,1,169000
109,0,279000
89,0,302000
127,0,433000
91,0,276000
87,1,140000
111,1,127000
137,1,213000
97,0,269000
45,0,165000
106,0,322000
158,1,260000
111,0,339000
118,0,369000
148,1,191000
74,1,103000
90,1,97000
111,0,415000
74,1,115000
166,1,257000
193,1,332000
38,1,44000
106,1,109000
75,1,82000
40,0,123000
65,1,140000
118,1,142000
101,0,382000
64,1,98000
84,0,338000
149,1,211000
79,1,130000
98,1,186000
147,1,198000
230,0,683000
165,1,274000
91,0,249000
82,1,61000
123,0,379000
114,0,346000
122,0,358000
62,1,63000
84,0,307000
141,0,436000
41,0,119000
142,1,221000
85,0,226000
43,1,40000
108,1,143000
111,1,152000
125,1,248000
68,0,201000
150,1,254000
129,1,171000
48,1,103000
72,0,263000
185,0,551000
54,1,89000
99,0,301000
67,1,116000
61,0,197000
58,0,171000
78,0,259000
60,1,86000
55,0,207000
155,0,470000
104,1,167000
43,0,138000
98,0,301000
148,1,275000
137,1,195000
138,1,190000
89,0,251000
56,0,171000
46,0,141000
59,0,143000
61,0,227000
32,0,91000
123,1,163000
166,1,273000
55,1,53000
120,1,243000
48,1,71000
69,1,96000
87,0,215000
158,0,461000
33,1,53000
192,1,288000
238,1,347000
244,1,394000
95,0,268000
124,0,409000
66,0,224000
126,0,407000
86,0,230000
33,1,49000
141,1,206000
158,0,490000
117,0,390000
192,0,527000
81,0,167000
105,0,306000
74,0,259000
206,0,609000
114,0,351000
76,1,141000
70,0,181000
190,0,544000
52,0,194000
120,1,190000
99,0,298000
35,1,31000
60,1,129000
52,0,166000
176,0,587000
199,1,345000
100,1,132000
50,1,64000
181,0,512000
152,0,471000
123,0,336000
82,0,248000
83,1,156000
82,0,237000
147,1,206000
210,1,272000
158,0,519000
49,0,195000
78,1,100000
65,0,180000
111,1,131000
138,0,416000
56,0,124000
187,1,287000
29,1,49000
168,1,267000
153,0,426000
107,0,295000
110,0,370000
127,1,201000
89,0,229000
46,0,131000
77,0,232000
108,0,383000
148,1,226000
146,1,214000
250,0,765000
205,1,295000
72,1,129000
63,1,64000
108,1,159000
175,0,517000
147,0,442000
70,1,116000
47,0,165000
51,0,203000
54,0,140000
94,1,125000
131,1,195000
200,1,317000
79,0,195000
53,0,158000
94,0,302000
57,0,174000
159,0,508000
177,0,502000
167,0,523000
36,1,81000
76,0,245000
87,1,123000
130,0,415000
100,1,111000
60,1,99000
77,1,146000
